gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,67,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Electronic check,100.72,6434.5,No
Female,1,No,No,25,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,One year,No,Credit card (automatic),114.92,2960.38,No
Male,0,No,No,61,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.61,3359.36,Yes
Male,0,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,82.48,1989.18,No
Male,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.3,1297.89,Yes
Female,1,Yes,No,9,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),93.27,908.1,Yes
Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,No,Credit card (automatic),118.38,4411.34,No
Male,0,Yes,No,7,No,Yes,No,No,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),50.8,359.22,No
Male,0,Yes,No,30,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.69,756.08,No
Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),117.28,7461.37,No
Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,21.18,633.12,No
Male,0,Yes,No,68,Yes,No,No,Yes,Yes,No internet service,No,No,No,One year,No,Mailed check,55.15,3602.94,No
Male,0,No,No,58,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.09,4640.05,Yes
Male,0,No,Yes,55,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.76,5003.32,No
Female,0,Yes,No,14,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,40.09,539.14,Yes
Male,0,Yes,No,37,Yes,No,No,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,23.51,871.02,Yes
Female,0,Yes,Yes,44,Yes,Yes,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),89.08,3762.76,Yes
Female,0,No,Yes,6,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,27.91,179.59,No
Female,1,Yes,No,26,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.87,1202.7,Yes
Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,45.31,673.11,No
Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),103.45,891.4,Yes
Male,0,Yes,No,24,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),77.11,1824.8,No
Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),64.07,2518.4,No
Female,1,Yes,No,49,Yes,No phone service,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,20.62,1037.54,No
Female,0,No,No,63,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.83,4646.95,Yes
Female,0,No,No,26,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Credit card (automatic),90.69,2286.79,No
Female,0,No,No,10,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),117.62,1073.07,No
Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),67.24,4187.95,No
